Type,Threshold,Runtime(s),#Itemsets,#Rules
Support,0.02,8.032766103744507,155,0
Support,0.01,35.9020049571991,385,5
Support,0.005,91.39289498329163,1073,1072
Confidence,0.4,95.4094500541687,1073,1265
Confidence,0.5,97.4598228931427,1073,1145
Confidence,0.6,102.18986105918884,1073,1072
Confidence,0.7,113.25617599487305,1073,995
Confidence,0.8,111.99329996109009,1073,924
